reference_predicted_price,item_name,item_wear,item_is_stattrak,item_rarity,item_quality,item_float_value,item_paint_index
6680,★ Paracord Knife | Damascus Steel (Field-Tested),Field-Tested,False,6,3,0.15635807812213898,410
6831,★ Huntsman Knife | Black Laminate (Well-Worn),Well-Worn,False,6,3,0.4208453297615051,1112
19647,★ Bayonet | Crimson Web (Field-Tested),Field-Tested,False,6,3,0.2155609428882599,12
16029,★ Ursus Knife | Tiger Tooth (Factory New),Factory New,False,6,3,0.008268305100500584,409
60310,★ Karambit | Black Laminate (Battle-Scarred),Battle-Scarred,False,6,3,0.46366196870803833,566
11765,★ StatTrak™ Falchion Knife | Night (Field-Tested),Field-Tested,True,6,3,0.2773900628089905,40
15600,★ Ursus Knife | Tiger Tooth (Factory New),Factory New,False,6,3,0.033253178000450134,409
9727,★ StatTrak™ Kukri Knife | Blue Steel (Field-Tested),Field-Tested,True,6,3,0.30127251148223877,42
9754,★ Shadow Daggers | Marble Fade (Factory New),Factory New,False,6,3,0.06655501574277878,413
8643,★ Nomad Knife | Scorched (Field-Tested),Field-Tested,False,6,3,0.32789668440818787,175
10180,★ Ursus Knife | Damascus Steel (Factory New),Factory New,False,6,3,0.06703728437423706,857
40011,★ Nomad Knife | Fade (Factory New),Factory New,False,6,3,0.02642028033733368,38
15510,★ StatTrak™ Bayonet | Ultraviolet (Field-Tested),Field-Tested,True,6,3,0.20797239243984222,98
36365,★ Talon Knife | Damascus Steel (Factory New),Factory New,False,6,3,0.014809772372245789,858
12147,★ Flip Knife | Damascus Steel (Field-Tested),Field-Tested,False,6,3,0.164164200425148,410
13217,★ StatTrak™ Ursus Knife | Damascus Steel (Factory New),Factory New,True,6,3,0.04942765831947327,857
71207,★ Butterfly Knife | Case Hardened (Field-Tested),Field-Tested,False,6,3,0.2755759358406067,44
142344,★ Karambit | Doppler (Factory New),Factory New,False,6,3,0.014783118851482868,420
13024,★ Bayonet | Night (Field-Tested),Field-Tested,False,6,3,0.359498530626297,40
50002,★ Karambit | Night (Field-Tested),Field-Tested,False,6,3,0.16147595643997192,40
40124,★ StatTrak™ Skeleton Knife | Slaughter (Minimal Wear),Minimal Wear,True,6,3,0.10994544625282288,59
43114,★ Flip Knife | Doppler (Factory New),Factory New,False,6,3,0.017175910994410515,419
56667,★ Karambit | Damascus Steel (Well-Worn),Well-Worn,False,6,3,0.447171151638031,410
47855,★ StatTrak™ Bayonet | Marble Fade (Factory New),Factory New,True,6,3,0.008285719901323318,413
8762,★ Ursus Knife | Night Stripe (Minimal Wear),Minimal Wear,False,6,3,0.12703421711921692,735
5367,★ Survival Knife | Forest DDPAT (Field-Tested),Field-Tested,False,6,3,0.1564963161945343,5
8052,★ Falchion Knife | Ultraviolet (Field-Tested),Field-Tested,False,6,3,0.16978119313716888,621
33318,★ Ursus Knife | Doppler (Factory New),Factory New,False,6,3,0.006407288368791342,419
10217,★ Huntsman Knife | Autotronic (Field-Tested),Field-Tested,False,6,3,0.3586008548736572,1117
20326,★ Skeleton Knife | Ultraviolet (Field-Tested),Field-Tested,False,6,3,0.2611510455608368,98
39189,★ Bayonet | Fade (Factory New),Factory New,False,6,3,0.007738426793366671,38
12679,★ Navaja Knife | Doppler (Factory New),Factory New,False,6,3,0.013920474797487259,420
68206,★ Skeleton Knife | Doppler (Factory New),Factory New,False,6,3,0.04368092492222786,420
127897,★ Stiletto Knife | Doppler (Factory New),Factory New,False,6,3,0.030080275610089302,416
222877,★ Stiletto Knife | Doppler (Factory New),Factory New,False,6,3,0.03470055013895035,415
20584,★ Stiletto Knife,Factory New,False,6,3,0.0,0
28338,★ Skeleton Knife | Crimson Web (Well-Worn),Well-Worn,False,6,3,0.4392903447151184,12
16720,★ Bayonet | Damascus Steel (Field-Tested),Field-Tested,False,6,3,0.3311554789543152,410
22592,★ Nomad Knife | Tiger Tooth (Factory New),Factory New,False,6,3,0.02140735648572445,409
18181,★ Bayonet | Damascus Steel (Minimal Wear),Minimal Wear,False,6,3,0.08687203377485275,410
29529,★ Skeleton Knife,Field-Tested,False,6,3,0.35331934690475464,0
4912,★ Shadow Daggers | Bright Water (Minimal Wear),Minimal Wear,False,6,3,0.14447876811027527,579
38617,★ M9 Bayonet | Freehand (Minimal Wear),Minimal Wear,False,6,3,0.10487717390060425,581
74271,★ Butterfly Knife | Damascus Steel (Field-Tested),Field-Tested,False,6,3,0.15054786205291748,411
59696,★ Bayonet | Doppler (Factory New),Factory New,False,6,3,0.009075704962015152,419
26241,★ Stiletto Knife | Case Hardened (Minimal Wear),Minimal Wear,False,6,3,0.0921933650970459,44
7726,★ StatTrak™ Huntsman Knife | Rust Coat (Battle-Scarred),Battle-Scarred,True,6,3,0.6636055707931519,414
19202,★ Flip Knife,Factory New,False,6,3,0.0,0
13063,★ Stiletto Knife | Rust Coat (Well-Worn),Well-Worn,False,6,3,0.41092708706855774,414
84531,★ Talon Knife | Doppler (Factory New),Factory New,False,6,3,0.026469402015209198,852
12836,★ Stiletto Knife | Rust Coat (Battle-Scarred),Battle-Scarred,False,6,3,0.6112619042396545,414
5292,★ Shadow Daggers | Forest DDPAT (Field-Tested),Field-Tested,False,6,3,0.15488992631435394,5
5987,★ Kukri Knife | Night Stripe (Field-Tested),Field-Tested,False,6,3,0.3145040273666382,735
55145,★ Talon Knife | Marble Fade (Factory New),Factory New,False,6,3,0.0317617766559124,856
22551,★ Nomad Knife | Tiger Tooth (Factory New),Factory New,False,6,3,0.04981943592429161,409
9019,★ StatTrak™ Gut Knife | Black Laminate (Field-Tested),Field-Tested,True,6,3,0.3351915776729584,565
26007,★ StatTrak™ Bayonet | Freehand (Minimal Wear),Minimal Wear,True,6,3,0.09291113168001175,580
8530,★ Shadow Daggers | Tiger Tooth (Factory New),Factory New,False,6,3,0.024093741551041603,409
13473,★ Nomad Knife | Damascus Steel (Field-Tested),Field-Tested,False,6,3,0.3254295289516449,410
11017,★ Gut Knife | Case Hardened (Field-Tested),Field-Tested,False,6,3,0.2787740230560303,44
224097,★ Butterfly Knife | Gamma Doppler (Factory New),Factory New,False,6,3,0.03293364495038986,572
46252,★ M9 Bayonet | Case Hardened (Field-Tested),Field-Tested,False,6,3,0.3694230914115906,44
13099,★ Paracord Knife | Tiger Tooth (Factory New),Factory New,False,6,3,0.026027193292975426,409
12591,★ Bayonet | Urban Masked (Field-Tested),Field-Tested,False,6,3,0.3253771960735321,143
30982,★ StatTrak™ Falchion Knife | Gamma Doppler (Factory New),Factory New,True,6,3,0.0205494724214077,570
11625,★ Gut Knife | Marble Fade (Factory New),Factory New,False,6,3,0.02516109123826027,413
42509,★ Butterfly Knife | Safari Mesh (Field-Tested),Field-Tested,False,6,3,0.17770516872406006,72
69530,★ StatTrak™ M9 Bayonet | Autotronic (Field-Tested),Field-Tested,True,6,3,0.31486666202545166,577
32646,★ StatTrak™ Nomad Knife | Slaughter (Factory New),Factory New,True,6,3,0.03297863155603409,59
12896,★ Gut Knife | Doppler (Factory New),Factory New,False,6,3,0.030476680025458336,420
236661,★ Butterfly Knife | Gamma Doppler (Factory New),Factory New,False,6,3,0.022612283006310463,569
5149,★ Paracord Knife | Safari Mesh (Field-Tested),Field-Tested,False,6,3,0.36339271068573,72
5858,★ Shadow Daggers | Lore (Field-Tested),Field-Tested,False,6,3,0.36815550923347473,1108
62905,★ Butterfly Knife | Stained (Minimal Wear),Minimal Wear,False,6,3,0.13225947320461273,43
7715,★ Bowie Knife | Freehand (Minimal Wear),Minimal Wear,False,6,3,0.08547040075063705,581
40749,★ StatTrak™ M9 Bayonet | Bright Water (Minimal Wear),Minimal Wear,True,6,3,0.09018074721097946,579
28044,★ Ursus Knife | Doppler (Factory New),Factory New,False,6,3,0.0313122384250164,421
80611,★ Karambit | Lore (Minimal Wear),Minimal Wear,False,6,3,0.14448583126068115,561
285507,★ Karambit | Gamma Doppler (Factory New),Factory New,False,6,3,0.02479706145823002,569
83958,★ Talon Knife | Doppler (Factory New),Factory New,False,6,3,0.029370656237006187,852
7650,★ Survival Knife | Blue Steel (Battle-Scarred),Battle-Scarred,False,6,3,0.9492128491401672,42
6521,★ Gut Knife | Freehand (Minimal Wear),Minimal Wear,False,6,3,0.08683351427316666,580
42615,★ Nomad Knife | Doppler (Factory New),Factory New,False,6,3,0.008191723376512527,420
74273,★ Butterfly Knife | Autotronic (Battle-Scarred),Battle-Scarred,False,6,3,0.5793161392211914,1115
35858,★ Bayonet | Marble Fade (Factory New),Factory New,False,6,3,0.03106442652642727,413
135832,★ StatTrak™ Karambit | Doppler (Factory New),Factory New,True,6,3,0.039571743458509445,420
